DATE,CBONDRET,TBONDRET,CPIUS
196711,-2.72,0.45,0.3
196712,1.27,1.02,0.3
196801,3.61,3.88,0.59
196802,0.37,-0.51,0.29
196803,-1.97,-3.01,0.29
196804,0.48,1.36,0.29
196805,0.32,0.3,0.29
196806,1.22,2.77,0.58
196807,3.41,2.05,0.58
196808,2.06,-0.11,0.29
196809,-0.53,-1.26,0.29
196810,-1.6,-1.43,0.57
196811,-2.26,-2.19,0.28
196812,-2.33,-2.74,0.28
196901,1.39,-1.55,0.28
196902,-1.6,-0.23,0.56
196903,-2,-2.14,0.84
196904,3.35,4.54,0.55
196905,-2.27,-3.79,0.28
196906,0.35,2.98,0.55
196907,0.05,1.21,0.55
196908,-0.2,-1.18,0.54
196909,-2.44,-5.29,0.27
196910,1.27,4.99,0.54
196911,-4.71,-3.6,0.54
196912,-1.34,-1.87,0.53
197001,1.41,0.54,0.27
197002,4.01,7.67,0.53
197003,-0.45,-0.98,0.53
197004,-2.5,-4.24,0.79
197005,-1.63,-4.07,0.26
197006,0.01,6.3,0.52
197007,5.56,3.18,0.52
197008,1,-1.94,0
197009,1.39,3.03,0.51
197010,-0.96,-0.22,0.51
197011,5.84,5.96,0.51
197012,3.72,-2.65,0.51
197101,5.32,6.25,0
197102,-3.66,-1.75,0.25
197103,2.58,4.06,0.25
197104,-2.36,-0.36,0.25
197105,-1.61,0.36,0.5
197106,1.07,-0.17,0.74
197107,-0.25,0.56,0.25
197108,5.54,4.89,0.25
197109,-1.02,2.06,0
197110,2.82,2.08,0.25
197111,0.29,-0.24,0
197112,2.23,-0.26,0.49
197201,-0.33,-0.89,0
197202,1.07,1.48,0.49
197203,0.24,-0.74,0.24
197204,0.35,0.83,0.24
197205,1.63,2.06,0.24
197206,-0.68,-0.75,0.24
197207,0.3,2.21,0.48
197208,0.72,0.68,0.24
197209,0.31,-0.35,0.24
197210,1.01,1.31,0.48
197211,2.49,1.43,0.24
197212,-0.04,-2.51,0.24
197301,-0.54,-4.35,0.24
197302,0.23,0.08,0.7
197303,0.45,0.69,0.93
197304,0.61,0.33,0.69
197305,-0.39,-0.86,0.69
197306,-0.56,-0.21,0.68
197307,-4.76,-4.18,0.23
197308,3.56,3.29,1.81
197309,3.56,3.99,0.22
197310,-0.66,-1.55,0.89
197311,0.78,1.48,0.66
197312,-0.89,-0.7,0.65
197401,-0.53,-0.67,0.87
197402,0.09,-0.28,1.29
197403,-3.07,-3.16,1.27
197404,-3.41,-2.07,0.42
197405,1.05,1.74,1.25
197406,-2.85,0.62,0.82
197407,-2.11,-0.83,0.82
197408,-2.68,-3.19,1.21
197409,1.74,2.64,1.2
197410,8.85,4.15,0.99
197411,1.17,1.21,0.78
197412,-0.75,0.3,0.78
197501,5.96,2.91,0.39
197502,1.37,0.9,0.77
197503,-2.47,-3.28,0.38
197504,-0.52,-1.71,0.38
197505,1.06,3.04,0.57
197506,3.04,2.34,0.75
197507,-0.3,-0.91,1.12
197508,-1.75,-0.53,0.18
197509,-1.26,-1.16,0.55
197510,5.53,5.37,0.55
197511,-0.88,-1.37,0.73
197512,4.42,4.11,0.36
197601,1.88,1.21,0.18
197602,0.61,0.25,0.36
197603,1.67,2.21,0.18
197604,-0.15,-0.07,0.36
197605,-1.03,-1.28,0.71
197606,1.5,1.97,0.53
197607,1.49,0.65,0.53
197608,2.31,2.14,0.53
197609,1.67,1.64,0.35
197610,0.7,0.89,0.52
197611,3.19,3.37,0.17
197612,3.47,3.54,0.34
197701,-3.03,-3.89,0.52
197702,-0.2,-0.45,1.03
197703,0.94,1.14,0.68
197704,1,0.55,0.84
197705,1.06,1.3,0.5
197706,1.75,1.95,0.66
197707,-0.05,-0.95,0.49
197708,1.36,2.14,0.33
197709,-0.22,-0.38,0.33
197710,-0.38,-0.79,0.33
197711,0.61,0.88,0.49
197712,-1.05,-1.8,0.32
197801,-0.89,-0.97,0.64
197802,0.51,0.17,0.64
197803,0.42,-0.2,0.79
197804,-0.23,0.02,0.79
197805,-1.08,-0.64,0.94
197806,0.23,-0.58,1.09
197807,1.01,1.38,0.77
197808,2.57,2.55,0.46
197809,-0.48,-1,0.76
197810,-2.05,-1.89,0.9
197811,1.34,1.74,0.45
197812,-1.33,-0.99,0.45
197901,1.84,1.98,0.89
197902,-1.28,-1.62,1.17
197903,1.06,1.36,1.01
197904,-0.52,-1.24,1.15
197905,2.28,2.45,1.27
197906,2.69,3.28,1.12
197907,-0.31,-0.8,1.11
197908,0.06,-0.34,0.96
197909,-1.79,-0.81,1.08
197910,-8.9,-7.73,0.8
197911,2.22,2.52,0.93
197912,-1.08,0.58,1.05
198001,-6.45,-7.54,1.43
198002,-6.65,-7.11,1.41
198003,-0.62,0.58,1.52
198004,13.76,13.31,1.12
198005,5.6,4.4,0.99
198006,3.41,4.57,1.1
198007,-4.29,-5.21,0
198008,-4.45,-3.41,0.73
198009,-2.37,-2.97,0.84
198010,-1.59,-3.12,0.95
198011,0.17,1.55,0.83
198012,2.48,3.83,0.94
198101,-1.3,-1.31,0.81
198102,-2.69,-3.96,1.03
198103,3.11,3.18,0.68
198104,-7.69,-5.29,0.68
198105,5.95,4.98,0.79
198106,0.23,-0.48,0.89
198107,-3.72,-3.41,1.1
198108,-3.45,-4.07,0.76
198109,-1.99,-1.75,0.98
198110,5.21,7.91,0.21
198111,12.67,11.37,0.32
198112,-5.8,-4.72,0.32
198201,-1.29,-0.1,0.32
198202,3.12,1.89,0.32
198203,3.06,2.47,-0.11
198204,3.38,3.24,0.42
198205,2.45,0.66,0.95
198206,-4.68,-2.18,1.25
198207,5.4,4.53,0.52
198208,8.37,8.23,0.21
198209,6.23,5.93,0.2
198210,7.59,7.94,0.31
198211,2.01,-1.19,-0.2
198212,1.08,3.13,-0.41
198301,-0.94,-2.85,0.2
198302,4.28,5.13,0.1
198303,0.72,-0.93,0
198304,5.48,3.45,0.72
198305,-3.24,-3.83,0.61
198306,-0.46,0.32,0.3
198307,-4.55,-4.79,0.4
198308,0.51,0.27,0.3
198309,3.92,5.07,0.5
198310,-0.25,-1.39,0.3
198311,1.42,1.84,0.2
198312,-0.33,-0.45,0.1
198401,2.7,2.4,0.59
198402,-1.72,-1.76,0.49
198403,-2.35,-1.55,0.2
198404,-0.73,-0.76,0.49
198405,-4.83,-5.4,0.29
198406,1.99,1.36,0.29
198407,5.86,6.86,0.39
198408,3.07,2.91,0.38
198409,3.14,3.32,0.48
198410,5.72,5.89,0.29
198411,2.12,1,0
198412,1.28,1.11,0
198501,3.25,3.96,0.19
198502,-3.73,-5.07,0.47
198503,1.79,3.05,0.38
198504,2.96,1.91,0.47
198505,8.2,9.37,0.37
198506,0.83,1.8,0.28
198507,-1.21,-1.04,0.19
198508,2.6,2.12,0.19
198509,0.71,0.08,0.28
198510,3.29,3.48,0.37
198511,3.7,4.35,0.28
198512,4.69,6.71,0.28
198601,0.45,0.18,0.27
198602,7.52,10.27,-0.27
198603,2.56,10.47,-0.46
198604,0.16,0.27,-0.18
198605,-1.64,-3.69,0.28
198606,2.18,6.75,0.55
198607,0.31,-1.96,0
198608,2.75,3.61,0.18
198609,-1.14,-3.86,0.46
198610,1.89,0.49,0.09
198611,2.33,1.47,0.09
198612,1.17,-0.31,0.09
198701,2.16,0.74,0.63
198702,0.58,0.57,0.36
198703,-0.87,-3.1,0.45
198704,-5.02,-6.11,0.54
198705,-0.52,-1.47,0.35
198706,1.55,2.29,0.35
198707,-1.19,-3.18,0.26
198708,-0.75,-2.41,0.53
198709,-4.22,-5.19,0.52
198710,5.07,8.6,0.26
198711,1.25,-0.06,0.09
198712,2.12,2.3,0
198801,5.17,6.23,0.26
198802,1.38,1.44,0.26
198803,-1.88,-3.76,0.43
198804,-1.49,-2.28,0.52
198805,-0.57,-1.88,0.34
198806,3.79,5.22,0.43
198807,-1.11,-2.86,0.42
198808,0.54,-0.03,0.42
198809,3.26,4.05,0.67
198810,2.73,3.23,0.33
198811,-1.69,-2.86,0.08
198812,0.39,1.53,0.17
198901,2.02,2.42,0.5
198902,-1.29,-2.43,0.41
198903,0.64,1.1,0.58
198904,2.13,2.79,0.65
198905,3.79,4,0.57
198906,3.95,6.77,0.24
198907,1.78,2.03,0.24
198908,-1.63,-2.72,0.16
198909,0.4,0.3,0.32
198910,2.76,4.37,0.48
198911,0.7,0.88,0.24
198912,0.06,-0.34,0.16
199001,-1.91,-4.29,1.03
199002,-0.12,-0.59,0.47
199003,-0.11,-0.26,0.55
199004,-1.91,-3.03,0.16
199005,3.85,4.89,0.23
199006,2.16,2.57,0.54
199007,1.02,0.58,0.38
199008,-2.92,-5.14,0.92
199009,0.91,1.03,0.84
199010,1.32,2.59,0.6
199011,2.85,4.77,0.22
199012,1.67,2.25,0
199101,1.5,1.14,0.6
199102,1.21,0.5,0.15
199103,1.08,0.11,0.15
199104,1.38,1.19,0.15
199105,0.39,-0.33,0.3
199106,-0.18,-1.11,0.3
199107,1.67,1.45,0.15
199108,2.75,3.63,0.29
199109,2.71,3.46,0.44
199110,0.43,-0.36,0.15
199111,1.06,-0.26,0.29
199112,4.36,7.01,0.07
199201,-1.73,-3.39,0.15
199202,0.96,0.17,0.36
199203,-0.73,-1.09,0.51
199204,0.16,-0.36,0.14
199205,2.54,3.01,0.14
199206,1.56,1.23,0.36
199207,3.08,4.52,0.21
199208,0.9,0.42,0.28
199209,0.99,1.08,0.28
199210,-1.56,-2.36,0.35
199211,0.69,0.73,0.14
199212,2.28,2.94,-0.07
199301,2.5,2.79,0.49
199302,2.56,3.63,0.35
199303,0.25,0.24,0.35
199304,0.52,0.36,0.28
199305,0.2,0.08,0.14
199306,2.93,4.42,0.14
199307,1,1.93,0
199308,2.87,4.98,0.28
199309,0.43,1.26,0.21
199310,0.51,1.53,0.41
199311,-1.88,-3.82,0.07
199312,0.67,-0.25,0
199401,2.02,2.07,0.27
199402,-2.86,-4.99,0.34
199403,-3.83,-4.87,0.34
199404,-0.97,-1.87,0.14
199405,-0.62,-0.89,0.07
199406,-0.81,-1.58,0.34
199407,3.09,3.44,0.27
199408,-0.31,-1.26,0.4
199409,-2.65,-3.61,0.27
199410,-0.5,-0.99,0.07
199411,0.18,0.38,0.13
199412,1.57,1.88,0
199501,2.56,2.69,0.4
199502,2.89,2.92,0.4
199503,0.95,0.91,0.33
199504,1.75,1.69,0.33
199505,6.31,9.15,0.2
199506,0.79,1.04,0.2
199507,-1.01,-2.24,0
199508,2.14,2.28,0.26
199509,1.53,2.64,0.2
199510,1.85,2.57,0.33
199511,2.42,3.1,-0.07
199512,2.28,2.88,-0.07
199601,0.14,-0.44,0.59
199602,-3.73,-5.93,0.32
199603,-1.3,-2.05,0.52
199604,-1.6,-2.14,0.39
199605,0.05,-0.82,0.19
199606,1.72,1.71,0.06
199607,0.1,-0.3,0.19
199608,-0.7,-1.77,0.19
199609,2.59,3.04,0.32
199610,3.61,4.27,0.32
199611,2.63,3.45,0.19
199612,-1.86,-3.15,0
199701,-0.28,-1.3,0.32
199702,0.28,-0.27,0.31
199703,-2.21,-3.08,0.25
199704,1.84,2.34,0.13
199705,1.28,1.14,-0.06
199706,1.87,2.21,0.12
199707,5.28,6.88,0.12
199708,-2.4,-3.75,0.19
199709,2.26,3.42,0.25
199710,1.91,3.86,0.25
199711,1.01,1.14,-0.06
199712,1.63,2.54,-0.12
199801,1.37,2.06,0.19
199802,-0.07,-1.2,0.19
199803,0.38,0.35,0.19
199804,0.53,0.31,0.19
199805,1.67,2.42,0.18
199806,1.15,3.08,0.12
199807,-0.56,-0.77,0.12
199808,0.89,6.03,0.12
199809,4.13,5.21,0.12
199810,-1.9,-2.26,0.24
199811,2.7,0.95,0
199812,0.1,0.04,-0.06
199901,1.23,0.54,0.24
199902,-4.01,-7.45,0.12
199903,0.02,-0.12,0.3
199904,-0.24,-0.07,0.73
199905,-1.76,-1.92,0
199906,-1.6,-1.39,0
199907,-1.13,-1.41,0.3
199908,-0.26,-0.46,0.24
199909,0.93,0.64,0.48
199910,0.47,-1.05,0.18
199911,-0.24,-1.12,0.06
199912,-1.02,-1.96,0
200001,-0.21,0.45,0.3
200002,0.92,3.68,0.59
200003,1.69,4.87,0.82
200004,-1.15,-1.35,0.06
200005,-1.61,-0.09,0.12
200006,3.26,2.06,0.52
200007,1.79,2.03,0.23
200008,1.35,2.08,0
200009,0.46,-2.46,0.52
200010,0.45,1.84,0.17
200011,2.63,2.91,0.06
200012,2.7,2.65,-0.06
200101,3.59,-0.19,0.63
200102,1.27,1.42,0.4
200103,-0.29,-1.48,0.23
200104,-1.28,-4.31,0.4
200105,1.32,0.88,0.45
200106,0.55,0.42,0.17
200107,3.61,3.86,-0.28
200108,1.57,2.7,0
200109,-1.52,-0.27,0.45
200110,4.37,8.89,-0.34
200111,-1.88,-5.54,-0.17
200112,-0.9,-2.28,-0.39
200201,1.75,1.01,0.23
200202,1.3,0.68,0.4
200203,-2.95,-5.04,0.56
200204,2.53,3.63,0.56
200205,1.13,0.21,0
200206,0.73,1.87,0.06
200207,0.94,3.5,0.11
200208,4.52,6.01,0.33
200209,3.3,4.29,0.17
200210,-2.4,-4.2,0.17
200211,1.03,-0.33,0
200212,3.61,4.26,-0.22
200301,0.21,-0.48,0.44
200302,2.64,2.9,0.77
200303,-0.8,-1.79,0.6
200304,2.29,1.14,-0.22
200305,4.71,6.42,-0.16
200306,-1.43,-2.32,0.11
200307,-8.81,-10.49,0.11
200308,2.19,2.3,0.38
200309,5.03,5.52,0.33
200310,-2.03,-3.14,-0.11
200311,0.52,0.41,-0.27
200312,1.39,1.32,-0.11
200401,1.87,1.95,0.49
200402,1.78,2.16,0.54
200403,1.18,1.42,0.64
200404,-5.34,-6.73,0.32
200405,-0.71,-0.34,0.59
200406,0.93,1.2,0.32
200407,1.84,1.67,-0.16
200408,3.95,4.32,0.05
200409,1.01,0.91,0.21
200410,1.64,1.87,0.53
200411,-2,-2.58,0.05
200412,2.57,2.99,-0.37
200501,2.54,3.84,0.21
200502,-0.81,-1.57,0.58
200503,-2.36,-0.09,0.78
200504,2.14,3.91,0.67
200505,2.34,3.25,-0.1
200506,1.64,2.27,0.05
200507,-1.39,-3.64,0.46
200508,2,3.55,0.51
200509,-3.36,-4.11,1.22
200510,-2.19,-2.25,0.2
200511,0.88,1.25,-0.8
200512,2.12,2.65,-0.4
200601,-0.75,-1.6,0.76
200602,1.35,1.28,0.2
200603,-3.61,-5.55,0.55
200604,-1.55,-3.8,0.85
200605,-0.58,-0.56,0.5
200606,0.12,1.09,0.2
200607,2.29,2.3,0.3
200608,3.2,3.35,0.2
200609,1.72,2.23,-0.49
200610,1.4,1.15,-0.54
200611,2.38,2.88,-0.15
200612,-2.18,-3.51,0.15
